,FIPS Code,State,Area name,"Bachelor's degree or higher, 1990","Bachelor's degree or higher, 2000","Bachelor's degree or higher, 2013-17"
0,0,US,United States,32310253.0,44462605.0,66887603.0
1,1000,AL,Alabama,399228.0,549608.0,803578.0
2,1001,AL,Autauga County,3026.0,4972.0,9176.0
3,1003,AL,Baldwin County,10870.0,22146.0,43968.0
4,1005,AL,Barbour County,1857.0,2068.0,2218.0
5,1007,AL,Bibb County,476.0,962.0,2097.0
6,1009,AL,Blount County,1773.0,3235.0,5172.0
7,1011,AL,Bullock County,676.0,586.0,990.0
8,1013,AL,Butler County,1083.0,1433.0,2253.0
9,1015,AL,Calhoun County,10266.0,11265.0,14113.0
10,1017,AL,Chambers County,2101.0,2339.0,3158.0
11,1019,AL,Cherokee County,866.0,1636.0,2344.0
12,1021,AL,Chilton County,1550.0,2574.0,4484.0
13,1023,AL,Choctaw County,836.0,1013.0,1100.0
14,1025,AL,Clarke County,1755.0,2137.0,2193.0
15,1027,AL,Clay County,628.0,763.0,970.0
16,1029,AL,Cleburne County,529.0,879.0,1283.0
17,1031,AL,Coffee County,4274.0,5574.0,7877.0
18,1033,AL,Colbert County,3956.0,5273.0,7207.0
19,1035,AL,Conecuh County,574.0,851.0,768.0
20,1037,AL,Coosa County,456.0,663.0,892.0
21,1039,AL,Covington County,2198.0,3142.0,4099.0
22,1041,AL,Crenshaw County,740.0,1039.0,1562.0
23,1043,AL,Cullman County,3405.0,6162.0,8457.0
24,1045,AL,Dale County,3948.0,4398.0,5587.0
25,1047,AL,Dallas County,3474.0,4004.0,3809.0
26,1049,AL,DeKalb County,2520.0,3528.0,6202.0
27,1051,AL,Elmore County,4031.0,7173.0,12629.0
28,1053,AL,Escambia County,1707.0,2693.0,3146.0
29,1055,AL,Etowah County,6689.0,9372.0,12119.0
30,1057,AL,Fayette County,995.0,1157.0,1712.0
31,1059,AL,Franklin County,1269.0,2021.0,2778.0
32,1061,AL,Geneva County,1058.0,1526.0,2076.0
33,1063,AL,Greene County,618.0,652.0,663.0
34,1065,AL,Hale County,822.0,858.0,1464.0
35,1067,AL,Henry County,817.0,1545.0,2074.0
36,1069,AL,Houston County,7696.0,10817.0,14903.0
37,1071,AL,Jackson County,2471.0,3798.0,4956.0
38,1073,AL,Jefferson County,84718.0,106833.0,142679.0
39,1075,AL,Lamar County,631.0,838.0,1317.0
40,1077,AL,Lauderdale County,8450.0,10881.0,14230.0
41,1079,AL,Lawrence County,1211.0,1723.0,2380.0
42,1081,AL,Lee County,11500.0,17351.0,32222.0
43,1083,AL,Limestone County,4811.0,7349.0,15494.0
44,1085,AL,Lowndes County,566.0,901.0,971.0
45,1087,AL,Macon County,2476.0,2617.0,2466.0
46,1089,AL,Madison County,46049.0,61814.0,97322.0
47,1091,AL,Marengo County,1612.0,1732.0,2089.0
48,1093,AL,Marion County,1301.0,1719.0,2878.0
49,1095,AL,Marshall County,5359.0,7639.0,11212.0
50,1097,AL,Mobile County,36078.0,46625.0,63545.0
51,1099,AL,Monroe County,1538.0,1813.0,1843.0
52,1101,AL,Montgomery County,31075.0,40294.0,48163.0
53,1103,AL,Morgan County,10019.0,13490.0,17142.0
54,1105,AL,Perry County,825.0,701.0,991.0
55,1107,AL,Pickens County,859.0,1323.0,1679.0
56,1109,AL,Pike County,2242.0,3264.0,4860.0
57,1111,AL,Randolph County,992.0,1479.0,2269.0
58,1113,AL,Russell County,2437.0,3110.0,6536.0
59,1115,AL,St. Clair County,2708.0,4791.0,9643.0
60,1117,AL,Shelby County,17978.0,34649.0,59659.0
61,1119,AL,Sumter County,996.0,1086.0,1502.0
62,1121,AL,Talladega County,4704.0,5951.0,7606.0
63,1123,AL,Tallapoosa County,2902.0,4012.0,5210.0
64,1125,AL,Tuscaloosa County,17782.0,23804.0,37825.0
65,1127,AL,Walker County,3154.0,4376.0,5010.0
66,1129,AL,Washington County,671.0,969.0,1238.0
67,1131,AL,Wilcox County,798.0,809.0,868.0
68,1133,AL,Winston County,776.0,1411.0,2230.0
69,2000,AK,Alaska,74497.0,93807.0,137821.0
70,2010,AK,Aleutian Islands,,,
71,2013,AK,Aleutians East Borough,198.0,98.0,293.0
72,2016,AK,Aleutians West Census Area,810.0,469.0,671.0
73,2020,AK,Anchorage Municipality,36692.0,46240.0,66489.0
74,2050,AK,Bethel Census Area,896.0,1050.0,1205.0
75,2060,AK,Bristol Bay Borough,168.0,165.0,132.0
76,2068,AK,Denali Borough,,299.0,707.0
77,2070,AK,Dillingham Census Area,330.0,436.0,499.0
78,2090,AK,Fairbanks North Star Borough,10929.0,12968.0,20471.0
79,2100,AK,Haines Borough,245.0,395.0,648.0
80,2105,AK,Hoonah-Angoon Census Area,,,361.0
81,2110,AK,Juneau City and Borough,5150.0,7167.0,8998.0
82,2122,AK,Kenai Peninsula Borough,4374.0,6362.0,9647.0
83,2130,AK,Ketchikan Gateway Borough,1731.0,1814.0,2295.0
84,2150,AK,Kodiak Island Borough,1674.0,1535.0,2159.0
85,2158,AK,Kusilvak Census Area,255.0,279.0,192.0
86,2160,AK,Kuskokwim Division,,,
87,2164,AK,Lake and Peninsula Borough,130.0,122.0,126.0
88,2170,AK,Matanuska-Susitna Borough,4232.0,6524.0,13266.0
89,2180,AK,Nome Census Area,601.0,724.0,760.0
90,2185,AK,North Slope Borough,450.0,660.0,995.0
91,2188,AK,Northwest Arctic Borough,339.0,444.0,441.0
92,2195,AK,Petersburg Census Area,,,577.0
93,2198,AK,Prince of Wales-Hyder Census Area,,,748.0
94,2201,AK,Prince of Wales-Outer Ketchikan Census Area,424.0,538.0,
95,2220,AK,Sitka City and Borough,1119.0,1657.0,2030.0
96,2230,AK,Skagway Municipality,,,267.0
97,2231,AK,Skagway-Yakutat-Angoon Census Area,420.0,,
98,2232,AK,Skagway-Hoonah-Angoon Census Area,,491.0,
99,2240,AK,Southeast Fairbanks Census Area,625.0,673.0,873.0
100,2250,AK,Upper Yukon Division,,,
101,2261,AK,Valdez-Cordova Census Area,1164.0,1367.0,2087.0
102,2275,AK,Wrangell City and Borough,,,361.0
103,2280,AK,Wrangell-Petersburg Census Area,864.0,710.0,
104,2282,AK,Yakutat City and Borough,,92.0,94.0
105,2290,AK,Yukon-Koyukuk Census Area,677.0,528.0,429.0
106,4000,AZ,Arizona,466873.0,766212.0,1284657.0
107,4001,AZ,Apache County,2520.0,4110.0,5020.0
108,4003,AZ,Cochise County,9850.0,14247.0,20676.0
109,4005,AZ,Coconino County,12399.0,19758.0,28622.0
110,4007,AZ,Gila County,2615.0,4870.0,7341.0
111,4009,AZ,Graham County,1688.0,2284.0,3297.0
112,4011,AZ,Greenlee County,492.0,635.0,707.0
113,4012,AZ,La Paz County,767.0,1250.0,1746.0
114,4013,AZ,Maricopa County,297573.0,500881.0,858772.0
115,4015,AZ,Mohave County,6804.0,10855.0,18976.0
116,4017,AZ,Navajo County,4075.0,6661.0,10549.0
117,4019,AZ,Pima County,98703.0,146108.0,210880.0
118,4021,AZ,Pinal County,5876.0,14177.0,51313.0
119,4023,AZ,Santa Cruz County,1799.0,3402.0,6395.0
120,4025,AZ,Yavapai County,13690.0,25405.0,42068.0
121,4027,AZ,Yuma County,8022.0,11569.0,18295.0
122,5000,AR,Arkansas,199304.0,288428.0,437428.0
123,5001,AR,Arkansas County,1445.0,1692.0,1793.0
124,5003,AR,Ashley County,1422.0,1582.0,1899.0
125,5005,AR,Baxter County,2436.0,3688.0,5820.0
126,5007,AR,Benton County,9291.0,20210.0,51732.0
127,5009,AR,Boone County,2000.0,2924.0,4203.0
128,5011,AR,Bradley County,754.0,998.0,1087.0
129,5013,AR,Calhoun County,279.0,285.0,457.0
130,5015,AR,Carroll County,1471.0,2380.0,3782.0
131,5017,AR,Chicot County,769.0,1058.0,1016.0
132,5019,AR,Clark County,2288.0,2722.0,3478.0
133,5021,AR,Clay County,645.0,900.0,1137.0
134,5023,AR,Cleburne County,1295.0,2402.0,2982.0
135,5025,AR,Cleveland County,393.0,565.0,975.0
136,5027,AR,Columbia County,2103.0,2694.0,3190.0
137,5029,AR,Conway County,1207.0,1555.0,2297.0
138,5031,AR,Craighead County,6879.0,10624.0,17669.0
139,5033,AR,Crawford County,2001.0,3276.0,6048.0
140,5035,AR,Crittenden County,2849.0,3863.0,5262.0
141,5037,AR,Cross County,933.0,1225.0,1589.0
142,5039,AR,Dallas County,559.0,576.0,752.0
143,5041,AR,Desha County,1032.0,1060.0,1008.0
144,5043,AR,Drew County,1443.0,1994.0,2150.0
145,5045,AR,Faulkner County,6235.0,12820.0,21891.0
146,5047,AR,Franklin County,848.0,1285.0,1371.0
147,5049,AR,Fulton County,373.0,864.0,1072.0
148,5051,AR,Garland County,7375.0,11263.0,14225.0
149,5053,AR,Grant County,836.0,1195.0,2367.0
150,5055,AR,Greene County,1886.0,2670.0,4747.0
151,5057,AR,Hempstead County,1288.0,1631.0,1887.0
152,5059,AR,Hot Spring County,1549.0,2267.0,3282.0
